;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2025-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
33.04; SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;10.294,88;924,08;;7.311,43;;19.482,76;35.671,41;160.825,40;;;;234.509,96;
33.06; SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;15.384,50;1.005,72;;61.879,38;;876,00;21.055,83;;;;;100.201,43;
33.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;1.419,99;;5.130,00;;377.628,28;3.862.334,46;812.000,00;;;;5.058.512,73;
34;RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;12.500,00;17.860.350,00;;;170.000,00;;;;;18.042.850,00;
34.01; DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;12.500,00;17.860.350,00;;;170.000,00;;;;;18.042.850,00;
35;FONDO DE CONTINGENCIA;;;;;3.964.420,00;;;;;;;3.964.420,00;
35.01; DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;;;;3.964.420,00;;;;;;;3.964.420,00;
36;FONDOS DE COMPENSACIÓN INTERTERRITORIAL;;;;;;;582.430,00;;;;;582.430,00;
36.03; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;;;;;38.580,16;;;;;38.580,16;
36.04; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;;;;;160.572,89;;;;;160.572,89;
36.05; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;;;;;13.975,88;;;;;13.975,88;
36.06; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;;;;;;4.823,05;;;;;4.823,05;
36.08; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. REGIÓN DE MURCIA;;;;;;;20.620,21;;;;;20.620,21;
36.09; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDAD VALENCIANA;;;;;;;53.049,30;;;;;53.049,30;
36.11; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;;;;;33.293,35;;;;;33.293,35;
36.12; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;;;;;62.122,02;;;;;62.122,02;
36.14; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;;;;;21.492,92;;;;;21.492,92;
36.17; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;;;;;17.281,18;;;;;17.281,18;
36.18; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;;;;;3.309,52;;;;;3.309,52;
36.19; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;;;;;3.309,52;;;;;3.309,52;
