seccion_cod,servicio_cod,dir3_cod,denominacion,dir3_padre_cod,ministerio_dir3_cod,ministerio_denominacion,nivel_jerarquico,nivel_organico,nivel_organico_senal,tipo_entidad,estado,fecha_inicio,fecha_fin
,,E02958002,Representacion Permanente de España en la UE (BRUSELAS),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2002-09-08,
,,E02958801,Guardia Real,EA0047487,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1995-06-01,
,,E04404803,Agregaduria de Defensa Embajada de España en Alemania (BERLIN),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E04637801,Gabinete Técnico de la S. Gral de Política de Defensa,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2004-06-27,
,,E04638802,Agregaduria de Defensa Embajada de España en Israel (TEL AVIV),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E04639401,Secretaría del Secretario General de la S. Gral. de Política de Defensa,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2004-06-27,
,,E04721903,Mando de Operaciones,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2015-12-03,
,,E04752201,Colegio Internacional de Auditores de la OTAN (BRUSELAS),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2007-01-08,
,,E04758601,Agregregaduria de Defensa Embajada de España en la Republica Islamica de Mauritania - Nouakchott,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2007-09-29,
,,E04801601,Delegacion de Defensa en el Pais Vasco,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04801701,Delegacion de Defensa en Cataluña,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04801801,Delegacion de Defensa en Galicia,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04801901,Delegacion de Defensa en Andalucia,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802001,Delegacion de Defensa en el Principado de Asturias,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802101,Delegación de Defensa en la Región de Murcia,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802201,Delegacion de Defensa en la Comunidad Valenciana,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802301,Delegación de Defensa en Aragón,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802401,Delegacion de Defensa en Castilla-La Mancha,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802501,Deleg. de Defensa en Canarias,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04802601,Delegacion de Defensa en la Comunidad Foral de Navarra,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04803901,Delegacion de Defensa en Extremadura,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04804001,Delegacion de Defensa en la Comunidad de Madrid,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04804101,Delegacion de Defensa en la Comunidad de Castilla y Leon,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04804201,Delegacion de Defensa en la Ciudad de Ceuta,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
